PC,explained_variance_ratio,cumulative_variance_ratio,r2_phase,r2_diagnosis
PC28,0.00895789813131181,0.6932173042880613,0.006490385656346191,0.004475909570239473
PC29,0.008734052809302902,0.7019513570973642,0.006184395444145705,0.0029262266098687172
PC30,0.008494248985373928,0.7104456060827381,0.0003836982538291475,0.0006821237514396465
PC31,0.00822425918982381,0.7186698652725619,0.0033765122557750495,0.003274001810615988
PC32,0.008029466683894732,0.7266993319564566,0.003936988169541076,0.015660463008493258
PC33,0.007920475860160541,0.7346198078166172,0.0003182402715157293,0.0006198379367615565
PC34,0.007656255778436107,0.7422760635950533,0.0024805411459890843,3.39755641673064e-05
PC35,0.007530875345893858,0.7498069389409471,0.01100937099864088,1.1184058555768605e-05
PC36,0.007385766173367982,0.757192705114315,0.011558996730470615,0.0040185475643934425
PC37,0.007225334197803637,0.7644180393121187,0.0062988877286793655,0.0030023737800907125
PC38,0.007049211674722759,0.7714672509868414,0.00209825481403314,0.0004820131220208297
PC39,0.006934468013275814,0.7784017190001172,0.005714082715201517,1.817469482799257e-05
PC40,0.006858429101428721,0.785260148101546,0.0029750402318365855,0.0018928046583852084
PC41,0.006558397168339573,0.7918185452698856,0.0021921415470278712,0.00033303778825352674
PC42,0.00636545460306643,0.7981839998729521,0.007202225752070412,0.0034972248645226828
PC43,0.006243803391879624,0.8044278032648317,0.00727884903405189,0.00018175135932493698
PC44,0.00614705096848675,0.8105748542333184,0.0062726464227184685,0.0021355329360306387
PC45,0.006017463737247634,0.8165923179705661,0.011640179630134901,0.001808658752142265
PC46,0.005839657755874007,0.8224319757264401,0.004380819418321982,0.0011595530191910687
PC47,0.0057932316618675705,0.8282252073883076,0.02803202221565198,7.806718894095317e-05
PC48,0.005726086407769145,0.8339512937960768,0.002287814470435906,0.0018519432821073013
PC49,0.005612328385896647,0.8395636221819734,0.00023177595054560282,0.0031270723090098046
PC50,0.0055601462209897935,0.8451237684029632,0.0044994548575737255,5.136716374849711e-06
PC51,0.005337861229756962,0.8504616296327202,0.004797603958067522,4.817053768913687e-07
PC52,0.005226812786258201,0.8556884424189785,0.00122719142136149,0.005698117078910482
PC53,0.005156729911009469,0.8608451723299879,0.00911765837678778,0.0012334310536793638
PC54,0.005100523832556846,0.8659456961625448,0.0020123264578336027,2.283040111720689e-05
PC55,0.0050109374121585105,0.8709566335747033,0.016854301186996302,0.0005320784096438137
PC56,0.004927407530867338,0.8758840411055706,0.0009188524872576114,0.0023446009937762905
PC57,0.004645152227939095,0.8805291933335097,0.005960950823547652,0.0006045576997244209
PC58,0.004502987846579096,0.8850321811800888,0.013908847078983932,0.00016424463887826547
PC59,0.004383232227775019,0.8894154134078638,0.006923250912633665,0.0004348343407435564
PC60,0.004324915231736487,0.8937403286396003,0.0021878348290707184,0.0012086631751076263
PC61,0.004207959911560815,0.8979482885511612,0.00058438191501038,0.00041161971760734107
PC62,0.004108577766890499,0.9020568663180517,0.007462887357899897,3.57155668952903e-05
PC63,0.004055810372523242,0.9061126766905749,0.005396362620566779,0.00011426551110267522
PC64,0.0039788482145386005,0.9100915249051136,0.006800484357297152,0.0006833386451980603
PC65,0.0038516698354927018,0.9139431947406063,0.0014234448829941657,0.0005875707041757862
PC66,0.003736284422740536,0.9176794791633468,0.009755235973651034,0.0040122854435772504
PC67,0.003575741976443564,0.9212552211397904,0.013017564729325585,0.002810233648170638
PC68,0.0034945724570078977,0.9247497935967983,0.002581675226209593,0.0023990608746200393
PC69,0.003370741603232144,0.9281205352000305,0.00013826681128190077,0.0002960042910143063
PC70,0.0033527178234463184,0.9314732530234768,0.004228986433125863,5.8409334650570895e-05
PC71,0.0032254423275862535,0.9346986953510631,0.0035748161398750575,0.00015960283515885267
PC72,0.0031490277383469938,0.9378477230894101,0.00875550301194759,0.0004742407316747013
PC73,0.0030163683957510202,0.9408640914851611,0.013093888571527563,0.0002114327985845463
PC74,0.0029117379762776227,0.9437758294614388,0.0032189549856641935,0.0001275183067186367
PC75,0.0028126101551294667,0.9465884396165682,0.015850018735698548,0.006835812408372606
PC76,0.0027435217004238783,0.9493319613169922,0.0005996308289221731,0.00010102780565789574
PC77,0.002710424116591819,0.952042385433584,0.0022865184039223873,0.00037459838195866545
PC78,0.002677728388196418,0.9547201138217805,0.001216465098547702,0.00025655462547061983
PC79,0.0026266253318550196,0.9573467391536354,0.00038313937971262273,1.0826758357057902e-05
PC80,0.002545496288661076,0.9598922354422965,0.00275765879835345,0.006388160816035101
PC81,0.0024725453897211785,0.9623647808320177,0.00031405277625101864,1.8560832039602867e-05
PC82,0.0023674078021174733,0.9647321886341352,0.012880901764535739,0.0006915492672682892
PC83,0.002258901943253211,0.9669910905773884,0.0067182595832845525,0.009801699168059494
PC84,0.0022204723299194453,0.9692115629073078,0.0056904421991301945,0.0015103510289892926
PC85,0.0021566863627436724,0.9713682492700515,0.002311104280397286,0.008902079202104927
PC86,0.002085311944216051,0.9734535612142675,0.00405404875197589,4.8401690585605695e-05
PC87,0.0020615631890760775,0.9755151244033436,0.017258272678278314,0.0026290461178762967
PC88,0.0019977998633116984,0.9775129242666554,0.0019531024421901323,0.00042247733115654624
PC89,0.0019358202658022077,0.9794487445324576,0.00042218852827533184,0.00011783518095491777
PC90,0.0018877077051747495,0.9813364522376323,0.00029422869032100517,0.0005060718308195023
PC91,0.0017780012588794068,0.9831144534965117,0.008982468569600763,0.002006629942402994
PC92,0.0017011125407180186,0.9848155660372298,0.0023915569293991527,3.659193485001917e-05
PC93,0.0016069661435117785,0.9864225321807415,0.00129726430452914,0.004380737253858916
PC94,0.0014519428293600144,0.9878744750101015,0.006610194128965703,2.1815951347470416e-05
PC95,0.0014351656923090289,0.9893096407024106,0.004022015291770557,0.00236245201677724
PC96,0.0013181312162746167,0.9906277719186852,0.004531228176616722,0.0004954901415133354
PC97,0.0011890899748175081,0.9918168618935027,0.0004347431946734765,0.0003518881080221571
PC98,0.0011295861376322994,0.992946448031135,0.005370613319951505,1.0712002694441363e-05
PC99,0.0010897860954287237,0.9940362341265637,0.0016193221812777579,8.361138900108704e-09
PC100,0.001001054677986069,0.9950372888045498,0.005797410930186944,0.002516229210477646
PC101,0.0009305234341900008,0.9959678122387398,0.0003372553194720536,8.817402871750831e-05
PC102,0.0007912669846528922,0.9967590792233927,0.007964127975098765,0.00020208504640720017
PC103,0.0007384849745233258,0.997497564197916,0.00029238355882745025,0.000681761469725753
PC104,0.0007196982901580471,0.9982172624880741,0.051643229046968595,0.017124663315756565
PC105,0.0006009488097053917,0.9988182112977795,0.00241178796550052,0.0008214612985278564
PC106,0.0005035350687379989,0.9993217463665175,0.013141780311014126,0.002493720864872342
PC107,0.00045565402080624036,0.9997774003873238,0.006514067804841667,0.004219979056798898
PC108,0.00022259961267684996,1.0000000000000007,0.010635152921515607,0.017485967810048762
